protein_ac,gene_name,protein_name,entrez_id
P59666,DEFA3,Neutrophil defensin 3,1668
A7MD48,SRRM4,Serine/arginine repetitive matrix protein 4,84530
P82912,MRPS11,28S ribosomal protein S11,64963
P57053,H2BFS,Histone H2B type F-S,102724334
Q15773,MLF2,Myeloid leukemia factor 2,8079
Q2KHM9,KIAA0753,Protein moonraker,9851
A8MUX0,KRTAP16-1,Keratin-associated protein 16-1,100505753
Q76I76,SSH2,Protein phosphatase Slingshot homolog 2,85464
Q8N8X9,MAB21L3,Protein mab-21-like 3,126868
Q8NB15,ZNF511,Zinc finger protein 511,118472
Q53FD0,ZC2HC1C,Zinc finger C2HC domain-containing protein 1C,79696
Q16877,PFKFB4,6-phosphofructo-2-kinase/fructose-2,5210
O43711,TLX3,T-cell leukemia homeobox protein 3,30012
O95671,ASMTL,Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein,8623
Q8N365,CIART,Circadian-associated transcriptional repressor,148523
Q6EMK4,VASN,Vasorin,114990
Q9Y371,SH3GLB1,Endophilin-B1,51100
P0DPB6,POLR1D,DNA-directed RNA polymerases I and III subunit RPAC2,51082
P24588,AKAP5,A-kinase anchor protein 5,9495
P35270,SPR,Sepiapterin reductase,6697
Q86VG3,C11orf74,Protein C11orf74,119710
O75528,TADA3,Transcriptional adapter 3,10474
Q92817,EVPL,Envoplakin,2125
Q9NZJ7,MTCH1,Mitochondrial carrier homolog 1,23787
Q13309,SKP2,S-phase kinase-associated protein 2,6502
P28335,HTR2C,5-hydroxytryptamine receptor 2C,3358
Q9NR28,DIABLO,Diablo homolog,56616
O96006,ZBED1,Zinc finger BED domain-containing protein 1,9189
Q8TAF8,LHFPL5,LHFPL tetraspan subfamily member 5 protein,222662
Q9UHW5,GPN3,GPN-loop GTPase 3,51184
P11686,SFTPC,Pulmonary surfactant-associated protein C,6440
A8MYJ7,TTC34,Tetratricopeptide repeat protein 34,100287898
Q8WVY7,UBLCP1,Ubiquitin-like domain-containing CTD phosphatase 1,134510
Q7Z4H3,HDDC2,HD domain-containing protein 2,51020
Q7Z6L0,PRRT2,Proline-rich transmembrane protein 2,112476
Q9NSC2,SALL1,Sal-like protein 1,6299
Q92608,DOCK2,Dedicator of cytokinesis protein 2,1794
Q9H902,REEP1,Receptor expression-enhancing protein 1,65055
Q9UQ84,EXO1,Exonuclease 1,9156
Q96NZ1,FOXN4,Forkhead box protein N4,121643
O14813,PHOX2A,Paired mesoderm homeobox protein 2A,401
Q16600,ZNF239,Zinc finger protein 239,8187
Q8TAC9,SCAMP5,Secretory carrier-associated membrane protein 5,192683
O60662,KLHL41,Kelch-like protein 41,10324
P12034,FGF5,Fibroblast growth factor 5,2250
P04275,VWF,von Willebrand factor,7450
Q5T089,MORN1,MORN repeat-containing protein 1,79906
Q76N32,CEP68,Centrosomal protein of 68 kDa,23177
Q6ZRF8,RNF207,RING finger protein 207,388591
A1YPR0,ZBTB7C,Zinc finger and BTB domain-containing protein 7C,201501
O14628,ZNF195,Zinc finger protein 195,7748
Q3SXZ7,TTLL9,Probable tubulin polyglutamylase TTLL9,164395
B2RV13,CFAP97D1,Uncharacterized protein CFAP97D1,284067
Q15714,TSC22D1,TSC22 domain family protein 1,8848
Q9H813,PACC1,Proton-activated chloride channel,55248
Q9UBS4,DNAJB11,DnaJ homolog subfamily B member 11,51726
O95159,ZFPL1,Zinc finger protein-like 1,7542
Q5TYW1,ZNF658,Zinc finger protein 658,26149
O43557,TNFSF14,Tumor necrosis factor ligand superfamily member 14,8740
P22735,TGM1,Protein-glutamine gamma-glutamyltransferase K,7051
Q96EE4,CCDC126,Coiled-coil domain-containing protein 126,90693
P62330,ARF6,ADP-ribosylation factor 6,382
Q8TAM6,ERMN,Ermin,57471
P36508,ZNF76,Zinc finger protein 76,7629
Q15116,PDCD1,Programmed cell death protein 1,5133
O60765,ZNF354A,Zinc finger protein 354A,6940
Q9UHQ7,TCEAL9,Transcription elongation factor A protein-like 9,51186
Q8NHS3,MFSD8,Major facilitator superfamily domain-containing protein 8,256471
Q9H840,GEMIN7,Gem-associated protein 7,79760
Q76NI1,KNDC1,Kinase non-catalytic C-lobe domain-containing protein 1,85442
Q8IVV7,GID4,Glucose-induced degradation protein 4 homolog,79018
Q9UKB5,AJAP1,Adherens junction-associated protein 1,55966
Q02985,CFHR3,Complement factor H-related protein 3,10878
P13995,MTHFD2,Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase,10797
Q8N7H5,PAF1,RNA polymerase II-associated factor 1 homolog,54623
Q96AZ6,ISG20,Interferon-stimulated gene 20 kDa protein,3669
Q96A25,TMEM106A,Transmembrane protein 106A,113277
P26951,IL3RA,Interleukin-3 receptor subunit alpha,3563
Q9P003,CNIH4,Protein cornichon homolog 4,29097
P49915,GMPS,GMP synthase [glutamine-hydrolyzing],8833
Q8TEX9,IPO4,Importin-4,79711
Q6UXU4,GSG1L,Germ cell-specific gene 1-like protein,146395
P15509,CSF2RA,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,1438
Q96S79,RASL10B,Ras-like protein family member 10B,91608
O75602,SPAG6,Sperm-associated antigen 6,9576
Q9BVM4,GGACT,Gamma-glutamylaminecyclotransferase,87769
Q9Y2L5,TRAPPC8,Trafficking protein particle complex subunit 8,22878
O43559,FRS3,Fibroblast growth factor receptor substrate 3,10817
P0DPA2,VSIG8,V-set and immunoglobulin domain-containing protein 8,391123
O43824,GTPBP6,Putative GTP-binding protein 6,8225
P17509,HOXB6,Homeobox protein Hox-B6,3216
P49675,STAR,Steroidogenic acute regulatory protein,6770
P49642,PRIM1,DNA primase small subunit,5557
Q9UKJ3,GPATCH8,G patch domain-containing protein 8,23131
Q9UIG8,SLCO3A1,Solute carrier organic anion transporter family member 3A1,28232
P21675,TAF1,Transcription initiation factor TFIID subunit 1,6872
Q9NPR9,GPR108,Protein GPR108,56927
O00322,UPK1A,Uroplakin-1a,11045
Q9H892,TTC12,Tetratricopeptide repeat protein 12,54970
O75143,ATG13,Autophagy-related protein 13,9776
P48735,IDH2,Isocitrate dehydrogenase [NADP],3418
O75569,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,8575
P19784,CSNK2A2,Casein kinase II subunit alpha',1459
Q14952,KIR2DS3,Killer cell immunoglobulin-like receptor 2DS3,3808
Q9BXR6,CFHR5,Complement factor H-related protein 5,81494
P05106,ITGB3,Integrin beta-3,3690
Q9H9Q4,NHEJ1,Non-homologous end-joining factor 1,79840
Q96DZ1,ERLEC1,Endoplasmic reticulum lectin 1,27248
Q9HCC6,HES4,Transcription factor HES-4,57801
Q6P1J9,CDC73,Parafibromin,79577
Q16851,UGP2,UTP--glucose-1-phosphate uridylyltransferase,7360
Q8IXV7,KLHDC8B,Kelch domain-containing protein 8B,200942
P15289,ARSA,Arylsulfatase A,410
Q14141,SEPTIN6,Septin-6,23157
P13861,PRKAR2A,cAMP-dependent protein kinase type II-alpha regulatory subunit,5576
Q04756,HGFAC,Hepatocyte growth factor activator,3083
O95070,YIF1A,Protein YIF1A,10897
Q9H9S3,SEC61A2,Protein transport protein Sec61 subunit alpha isoform 2,55176
P01008,SERPINC1,Antithrombin-III,462
P03923,MT-ND6,NADH-ubiquinone oxidoreductase chain 6,4541
O43612,HCRT,Orexin,3060
O95926,SYF2,Pre-mRNA-splicing factor SYF2,25949
Q5TC84,OGFRL1,Opioid growth factor receptor-like protein 1,79627
Q7RTS3,PTF1A,Pancreas transcription factor 1 subunit alpha,256297
Q12797,ASPH,Aspartyl/asparaginyl beta-hydroxylase,444
Q86T75,NBPF11,Neuroblastoma breakpoint family member 11,200030
P48594,SERPINB4,Serpin B4,6318
Q9H361,PABPC3,Polyadenylate-binding protein 3,5042
O95363,FARS2,Phenylalanine--tRNA ligase,10667
Q86TB9,PATL1,Protein PAT1 homolog 1,219988
Q86YH6,PDSS2,Decaprenyl-diphosphate synthase subunit 2,57107
P08183,ABCB1,ATP-dependent translocase ABCB1,5243
Q8TD90,MAGEE2,Melanoma-associated antigen E2,139599
P19544,WT1,Wilms tumor protein,7490
O94923,GLCE,D-glucuronyl C5-epimerase,26035
Q14161,GIT2,ARF GTPase-activating protein GIT2,9815
Q9NP78,ABCB9,ATP-binding cassette sub-family B member 9,23457
Q9Y6J8,STYXL1,Serine/threonine/tyrosine-interacting-like protein 1,51657
Q9BVC6,TMEM109,Transmembrane protein 109,79073
Q8N6M9,ZFAND2A,AN1-type zinc finger protein 2A,90637
Q9UK61,TASOR,Protein TASOR,23272
Q8N1S5,SLC39A11,Zinc transporter ZIP11,201266
O95665,NTSR2,Neurotensin receptor type 2,23620
Q9H7P9,PLEKHG2,Pleckstrin homology domain-containing family G member 2,64857
P16473,TSHR,Thyrotropin receptor,7253
P0C7M8,CLEC2L,C-type lectin domain family 2 member L,154790
P53990,IST1,IST1 homolog,9798
Q6UWM9,UGT2A3,UDP-glucuronosyltransferase 2A3,79799
Q9H8K7,PAAT,ATPase PAAT,80007
O00339,MATN2,Matrilin-2,4147
Q9NZ53,PODXL2,Podocalyxin-like protein 2,50512
Q12788,TBL3,Transducin beta-like protein 3,10607
P50440,GATM,Glycine amidinotransferase,2628
P02689,PMP2,Myelin P2 protein,5375
Q9BUY5,ZNF426,Zinc finger protein 426,79088
P57087,JAM2,Junctional adhesion molecule B,58494
Q13433,SLC39A6,Zinc transporter ZIP6,25800
Q76G19,PDZD4,PDZ domain-containing protein 4,57595
Q9H6E4,CCDC134,Coiled-coil domain-containing protein 134,79879
P57105,SYNJ2BP,Synaptojanin-2-binding protein,55333
Q9Y5Q6,INSL5,Insulin-like peptide INSL5,10022
Q10469,MGAT2,Alpha-1,4247
P06746,POLB,DNA polymerase beta,5423
Q8WUX2,CHAC2,Glutathione-specific gamma-glutamylcyclotransferase 2,494143
O43747,AP1G1,AP-1 complex subunit gamma-1,164
Q5M7Z0,RNFT1,E3 ubiquitin-protein ligase RNFT1,51136
Q6NXR0,IRGC,Interferon-inducible GTPase 5,56269
Q99871,HAUS7,HAUS augmin-like complex subunit 7,55559
O43310,CTIF,CBP80/20-dependent translation initiation factor,9811
Q6ICR9,HLA-DMA,HLA-DMA protein,3108
Q9Y6I3,EPN1,Epsin-1,29924
Q9NX55,HYPK,Huntingtin-interacting protein K,25764
P23759,PAX7,Paired box protein Pax-7,5081
Q9Y224,RTRAF,RNA transcription,51637
P15144,ANPEP,Aminopeptidase N,290
Q8TD30,GPT2,Alanine aminotransferase 2,84706
Q9UKT8,FBXW2,F-box/WD repeat-containing protein 2,26190
Q13275,SEMA3F,Semaphorin-3F,6405
P12270,TPR,Nucleoprotein TPR,7175
Q00537,CDK17,Cyclin-dependent kinase 17,5128
Q96N28,PRELID3A,PRELI domain containing protein 3A,10650
Q66K79,CPZ,Carboxypeptidase Z,8532
Q8IYN2,TCEAL8,Transcription elongation factor A protein-like 8,90843
Q9NUD7,C20orf96,Uncharacterized protein C20orf96,140680
Q15415,RBMY1F,RNA-binding motif protein,378951
Q92508,PIEZO1,Piezo-type mechanosensitive ion channel component 1,9780
Q8TD16,BICD2,Protein bicaudal D homolog 2,23299
P19526,FUT1,Galactoside 2-alpha-L-fucosyltransferase 1,2523
Q6MZW2,FSTL4,Follistatin-related protein 4,23105
Q9BZL3,SMIM3,Small integral membrane protein 3,85027
Q96MD2,C12orf66,KICSTOR complex protein C12orf66,144577
O43572,AKAP10,A-kinase anchor protein 10,11216
P55916,UCP3,Mitochondrial uncoupling protein 3,7352
O76082,SLC22A5,Solute carrier family 22 member 5,6584
Q8NG08,HELB,DNA helicase B,92797
Q86SJ2,AMIGO2,Amphoterin-induced protein 2,347902
Q9Y4A5,TRRAP,Transformation/transcription domain-associated protein,8295
Q8N4X5,AFAP1L2,Actin filament-associated protein 1-like 2,84632
Q9Y4F3,MARF1,Meiosis regulator and mRNA stability factor 1,9665
Q14145,KEAP1,Kelch-like ECH-associated protein 1,9817
O15254,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3,8310
O43189,PHF1,PHD finger protein 1,5252
O95178,NDUFB2,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2,4708
O95154,AKR7A3,Aflatoxin B1 aldehyde reductase member 3,22977
A5A3E0,POTEF,POTE ankyrin domain family member F,728378
Q6ZP82,CCDC141,Coiled-coil domain-containing protein 141,285025
Q86UA1,PRPF39,Pre-mRNA-processing factor 39,55015
Q9H2D1,SLC25A32,Mitochondrial folate transporter/carrier,81034
Q15726,KISS1,Metastasis-suppressor KiSS-1,3814
P10768,ESD,S-formylglutathione hydrolase,2098
Q2M296,MTHFSD,Methenyltetrahydrofolate synthase domain-containing protein,64779
Q96GL9,FAM163A,Protein FAM163A,148753
O75525,KHDRBS3,KH domain-containing,10656
Q8NDF8,TENT4B,Terminal nucleotidyltransferase 4B,64282
Q9UM22,EPDR1,Mammalian ependymin-related protein 1,54749
Q9Y2U9,KLHDC2,Kelch domain-containing protein 2,23588
Q9BSJ1,TRIM51,Tripartite motif-containing protein 51,84767
Q9BQS7,HEPH,Hephaestin,9843
Q9NRX3,NDUFA4L2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2,56901
Q96MT3,PRICKLE1,Prickle-like protein 1,144165
P04279,SEMG1,Semenogelin-1,6406
Q9BUB7,TMEM70,Transmembrane protein 70,54968
Q8IYV9,IZUMO1,Izumo sperm-egg fusion protein 1,284359
Q9Y233,PDE10A,cAMP and cAMP-inhibited cGMP 3',10846
Q9Y2A7,NCKAP1,Nck-associated protein 1,10787
P55107,GDF10,Growth/differentiation factor 10,2662
Q14653,IRF3,Interferon regulatory factor 3,3661
P40925,MDH1,Malate dehydrogenase,4190
Q1MSJ5,CSPP1,Centrosome and spindle pole-associated protein 1,79848
P63244,RACK1,Receptor of activated protein C kinase 1,10399
Q7L985,LINGO2,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2,158038
Q9C091,GREB1L,GREB1-like protein,80000
Q86UU9,TAC4,Tachykinin-4,255061
O95750,FGF19,Fibroblast growth factor 19,9965
Q5VSG8,MANEAL,Glycoprotein endo-alpha-1,149175
O15540,FABP7,Fatty acid-binding protein,2173
Q6ZRI6,C15orf39,Uncharacterized protein C15orf39,56905
Q8N1N4,KRT78,Keratin,196374
P42892,ECE1,Endothelin-converting enzyme 1,1889
Q9Y5H6,PCDHA8,Protocadherin alpha-8,56140
P04001,OPN1MW,Medium-wave-sensitive opsin 1,728458
Q9C0E8,LNPK,Endoplasmic reticulum junction formation protein lunapark,80856
Q06609,RAD51,DNA repair protein RAD51 homolog 1,5888
P30711,GSTT1,Glutathione S-transferase theta-1,2952
Q9UBU6,FAM8A1,Protein FAM8A1,51439
P32455,GBP1,Guanylate-binding protein 1,2633
Q9Y5E7,PCDHB2,Protocadherin beta-2,56133
Q09019,DMWD,Dystrophia myotonica WD repeat-containing protein,1762
Q9BPW4,APOL4,Apolipoprotein L4,80832
Q96GV9,C5orf30,UNC119-binding protein C5orf30,90355
P07307,ASGR2,Asialoglycoprotein receptor 2,433
Q92563,SPOCK2,Testican-2,9806
Q5VT66,MARC1,Mitochondrial amidoxime-reducing component 1,64757
Q6ZW76,ANKS3,Ankyrin repeat and SAM domain-containing protein 3,124401
Q96QD5,DEPDC7,DEP domain-containing protein 7,91614
Q99784,OLFM1,Noelin,10439
Q969N4,TAAR8,Trace amine-associated receptor 8,83551
Q8TER0,SNED1,Sushi,25992
O75382,TRIM3,Tripartite motif-containing protein 3,10612
P12110,COL6A2,Collagen alpha-2(VI) chain,1292
Q8NAM6,ZSCAN4,Zinc finger and SCAN domain-containing protein 4,201516
Q8WWX0,ASB5,Ankyrin repeat and SOCS box protein 5,140458
Q6IN85,PPP4R3A,Serine/threonine-protein phosphatase 4 regulatory subunit 3A,55671
Q96C92,ENTR1,Endosome-associated-trafficking regulator 1,10807
Q9BZQ4,NMNAT2,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2,23057
Q9UKT4,FBXO5,F-box only protein 5,26271
Q86XP1,DGKH,Diacylglycerol kinase eta,160851
O43396,TXNL1,Thioredoxin-like protein 1,9352
O15083,ERC2,ERC protein 2,26059
P28329,CHAT,Choline O-acetyltransferase,1103
Q6NTF7,APOBEC3H,DNA dC->dU-editing enzyme APOBEC-3H,164668
P47895,ALDH1A3,Aldehyde dehydrogenase family 1 member A3,220
P32189,GK,Glycerol kinase,2710
Q8IXM6,NRM,Nurim,11270
Q9NSU2,TREX1,Three-prime repair exonuclease 1,11277
P07902,GALT,Galactose-1-phosphate uridylyltransferase,2592
P15822,HIVEP1,Zinc finger protein 40,3096
P35900,KRT20,Keratin,54474
O60512,B4GALT3,Beta-1,8703
A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,23347
P62341,SELENOT,Thioredoxin reductase-like selenoprotein T,51714
P02753,RBP4,Retinol-binding protein 4,5950
Q9NQZ7,ENTPD7,Ectonucleoside triphosphate diphosphohydrolase 7,57089
P14174,MIF,Macrophage migration inhibitory factor,4282
Q99729,HNRNPAB,Heterogeneous nuclear ribonucleoprotein A/B,3182
O94776,MTA2,Metastasis-associated protein MTA2,9219
Q9C0J9,BHLHE41,Class E basic helix-loop-helix protein 41,79365
Q9UD71,PPP1R1B,Protein phosphatase 1 regulatory subunit 1B,84152
Q15761,NPY5R,Neuropeptide Y receptor type 5,4889
Q9UHP9,SMPX,Small muscular protein,23676
Q04743,EMX2,Homeobox protein EMX2,2018
Q96NE9,FRMD6,FERM domain-containing protein 6,122786
Q8N118,CYP4X1,Cytochrome P450 4X1,260293
Q15262,PTPRK,Receptor-type tyrosine-protein phosphatase kappa,5796
Q9UFB7,ZBTB47,Zinc finger and BTB domain-containing protein 47,92999
O75190,DNAJB6,DnaJ homolog subfamily B member 6,10049
Q7Z5P4,HSD17B13,17-beta-hydroxysteroid dehydrogenase 13,345275
Q9NZH5,PTTG2,Securin-2,10744
P56211,ARPP19,cAMP-regulated phosphoprotein 19,10776
Q8IWC1,MAP7D3,MAP7 domain-containing protein 3,79649
Q9P2H3,IFT80,Intraflagellar transport protein 80 homolog,57560
Q9NUS5,AP5S1,AP-5 complex subunit sigma-1,55317
Q9UHE5,NAT8,N-acetyltransferase 8,9027
Q92823,NRCAM,Neuronal cell adhesion molecule,4897
Q03519,TAP2,Antigen peptide transporter 2,6891
Q9UNA0,ADAMTS5,A disintegrin and metalloproteinase with thrombospondin motifs 5,11096
Q92752,TNR,Tenascin-R,7143
Q96EY9,ADAT3,Probable inactive tRNA-specific adenosine deaminase-like protein 3,113179
P57059,SIK1,Serine/threonine-protein kinase SIK1,150094
P35968,KDR,Vascular endothelial growth factor receptor 2,3791
Q8NAV1,PRPF38A,Pre-mRNA-splicing factor 38A,84950
Q96IU4,ABHD14B,Protein ABHD14B,84836
Q13394,MAB21L1,Putative nucleotidyltransferase MAB21L1,4081
Q9UBX2,DUX4,Double homeobox protein 4,100288687
P62857,RPS28,40S ribosomal protein S28,6234
C9J7I0,UMAD1,UBAP1-MVB12-associated (UMA)-domain containing protein 1,729852
Q8N8A2,ANKRD44,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,91526
Q5T7P8,SYT6,Synaptotagmin-6,148281
Q96HR8,NAF1,H/ACA ribonucleoprotein complex non-core subunit NAF1,92345
Q8WUY8,NAT14,N-acetyltransferase 14,57106
Q52LR7,EPC2,Enhancer of polycomb homolog 2,26122
Q14210,LY6D,Lymphocyte antigen 6D,8581
Q96P64,AGAP4,Arf-GAP with GTPase,119016
Q9HD47,RANGRF,Ran guanine nucleotide release factor,29098
Q00526,CDK3,Cyclin-dependent kinase 3,1018
Q5JY77,GPRASP1,G-protein coupled receptor-associated sorting protein 1,9737
P24347,MMP11,Stromelysin-3,4320
Q9NZ20,PLA2G3,Group 3 secretory phospholipase A2,50487
Q6ZPD9,DPY19L3,Probable C-mannosyltransferase DPY19L3,147991
O60635,TSPAN1,Tetraspanin-1,10103
P82914,MRPS15,28S ribosomal protein S15,64960
Q1MX18,INSC,Protein inscuteable homolog,387755
Q400G9,AMZ1,Archaemetzincin-1,155185
Q9NYR9,NKIRAS2,NF-kappa-B inhibitor-interacting Ras-like protein 2,28511
Q8N3R9,MPP5,MAGUK p55 subfamily member 5,64398
Q9P2S5,WRAP73,WD repeat-containing protein WRAP73,49856
Q8N9Z0,ZNF610,Zinc finger protein 610,162963
P62333,PSMC6,26S proteasome regulatory subunit 10B,5706
O15539,RGS5,Regulator of G-protein signaling 5,8490
Q5VWQ8,DAB2IP,Disabled homolog 2-interacting protein,153090
Q52MB2,CCDC184,Coiled-coil domain-containing protein 184,387856
Q8N5F7,NKAP,NF-kappa-B-activating protein,79576
Q8IWT6,LRRC8A,Volume-regulated anion channel subunit LRRC8A,56262
Q658Y4,FAM91A1,Protein FAM91A1,157769
Q00266,MAT1A,S-adenosylmethionine synthase isoform type-1,4143
Q9H5V8,CDCP1,CUB domain-containing protein 1,64866
P30044,PRDX5,Peroxiredoxin-5,25824
Q8N1F8,STK11IP,Serine/threonine-protein kinase 11-interacting protein,114790
Q99961,SH3GL1,Endophilin-A2,6455
Q12946,FOXF1,Forkhead box protein F1,2294
Q9BT09,CNPY3,Protein canopy homolog 3,10695
Q9UPR0,PLCL2,Inactive phospholipase C-like protein 2,23228
Q8N4V1,MMGT1,Membrane magnesium transporter 1,93380
Q9BSH3,NICN1,Nicolin-1,84276
Q00994,BEX3,Protein BEX3,27018
Q9NVV9,THAP1,THAP domain-containing protein 1,55145
Q96JC4,ZNF479,Zinc finger protein 479,90827
P23942,PRPH2,Peripherin-2,5961
Q8IUZ0,LRRC49,Leucine-rich repeat-containing protein 49,54839
Q15942,ZYX,Zyxin,7791
Q9BXT6,MOV10L1,RNA helicase Mov10l1,54456
Q8N4F4,SLC22A24,Solute carrier family 22 member 24,283238
Q9H5H4,ZNF768,Zinc finger protein 768,79724
A2VCK2,DCDC2B,Doublecortin domain-containing protein 2B,149069
O60729,CDC14B,Dual specificity protein phosphatase CDC14B,8555
Q96PC3,AP1S3,AP-1 complex subunit sigma-3,130340
Q9Y5H9,PCDHA2,Protocadherin alpha-2,56146
Q75N90,FBN3,Fibrillin-3,84467
P27815,PDE4A,cAMP-specific 3',5141
Q96SZ6,CDK5RAP1,CDK5 regulatory subunit-associated protein 1,51654
Q53G44,IFI44L,Interferon-induced protein 44-like,10964
Q8N4N3,KLHL36,Kelch-like protein 36,79786
P01236,PRL,Prolactin,5617
Q8NHS4,CLHC1,Clathrin heavy chain linker domain-containing protein 1,130162
Q8N6C5,IGSF1,Immunoglobulin superfamily member 1,3547
P22310,UGT1A4,UDP-glucuronosyltransferase 1-4,54657
Q96ES7,SGF29,SAGA-associated factor 29,112869
P31270,HOXA11,Homeobox protein Hox-A11,3207
P51589,CYP2J2,Cytochrome P450 2J2,1573
P47989,XDH,Xanthine dehydrogenase/oxidase,7498
O95231,VENTX,Homeobox protein VENTX,27287
P78545,ELF3,ETS-related transcription factor Elf-3,1999
Q13330,MTA1,Metastasis-associated protein MTA1,9112
Q3SYG4,BBS9,Protein PTHB1,27241
Q8NCR0,B3GALNT2,UDP-GalNAc:beta-1,148789
P26717,KLRC2,NKG2-C type II integral membrane protein,3822
Q9Y2B5,VPS9D1,VPS9 domain-containing protein 1,9605
Q07699,SCN1B,Sodium channel subunit beta-1,6324
Q9NRN9,METTL5,Methyltransferase-like protein 5,29081
Q9NZS2,KLRF1,Killer cell lectin-like receptor subfamily F member 1,51348
Q13324,CRHR2,Corticotropin-releasing factor receptor 2,1395
Q8TBZ2,MYCBPAP,MYCBP-associated protein,84073
P35869,AHR,Aryl hydrocarbon receptor,196
Q8WZA9,IRGQ,Immunity-related GTPase family Q protein,126298
P42685,FRK,Tyrosine-protein kinase FRK,2444
Q86XD5,FAM131B,Protein FAM131B,9715
O15397,IPO8,Importin-8,10526
Q8WWT9,SLC13A3,Solute carrier family 13 member 3,64849
Q9NZU1,FLRT1,Leucine-rich repeat transmembrane protein FLRT1,23769
Q6P1S2,C3orf33,Protein C3orf33,285315
P42765,ACAA2,3-ketoacyl-CoA thiolase,10449
Q96JW4,SLC41A2,Solute carrier family 41 member 2,84102
B7ZAQ6,GPR89A,Golgi pH regulator A,653519
P61201,COPS2,COP9 signalosome complex subunit 2,9318
Q8TBP5,FAM174A,Membrane protein FAM174A,345757
Q6DN12,MCTP2,Multiple C2 and transmembrane domain-containing protein 2,55784
Q9Y2R2,PTPN22,Tyrosine-protein phosphatase non-receptor type 22,26191
Q13634,CDH18,Cadherin-18,1016
Q6NUP7,PPP4R4,Serine/threonine-protein phosphatase 4 regulatory subunit 4,57718
Q9NST1,PNPLA3,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3,80339
Q9Y6G3,MRPL42,39S ribosomal protein L42,28977
Q9HC57,WFDC1,WAP four-disulfide core domain protein 1,58189
Q9P0N8,MARCH2,E3 ubiquitin-protein ligase MARCH2,51257
O00501,CLDN5,Claudin-5,7122
Q2Y0W8,SLC4A8,Electroneutral sodium bicarbonate exchanger 1,9498
Q5EBL2,ZNF628,Zinc finger protein 628,89887
Q14781,CBX2,Chromobox protein homolog 2,84733
O75829,CNMD,Leukocyte cell-derived chemotaxin 1,11061
Q9UKN5,PRDM4,PR domain zinc finger protein 4,11108
Q9H213,MAGEH1,Melanoma-associated antigen H1,28986
Q8WWB3,DYDC1,DPY30 domain-containing protein 1,143241
Q7Z2H8,SLC36A1,Proton-coupled amino acid transporter 1,206358
O96015,DNAL4,Dynein light chain 4,10126
Q15800,MSMO1,Methylsterol monooxygenase 1,6307
P35754,GLRX,Glutaredoxin-1,2745
Q9NVA2,SEPTIN11,Septin-11,55752
Q5TGY3,AHDC1,AT-hook DNA-binding motif-containing protein 1,27245
Q96AC1,FERMT2,Fermitin family homolog 2,10979
A2A3K4,PTPDC1,Protein tyrosine phosphatase domain-containing protein 1,138639
Q9C000,NLRP1,NACHT,22861
Q9NPC1,LTB4R2,Leukotriene B4 receptor 2,56413
Q9NS28,RGS18,Regulator of G-protein signaling 18,64407
Q0D2I5,IFFO1,Intermediate filament family orphan 1,25900
O95067,CCNB2,G2/mitotic-specific cyclin-B2,9133
P12755,SKI,Ski oncogene,6497
Q96NN9,AIFM3,Apoptosis-inducing factor 3,150209
P18507,GABRG2,Gamma-aminobutyric acid receptor subunit gamma-2,2566
Q5VW38,GPR107,Protein GPR107,57720
Q9BYZ2,LDHAL6B,L-lactate dehydrogenase A-like 6B,92483
Q96L96,ALPK3,Alpha-protein kinase 3,57538
A6NIJ9,OR6C70,Olfactory receptor 6C70,390327
P25800,LMO1,Rhombotin-1,4004
Q86VV8,RTTN,Rotatin,25914
Q12980,NPRL3,GATOR complex protein NPRL3,8131
Q8IYH5,ZZZ3,ZZ-type zinc finger-containing protein 3,26009
O75995,SASH3,SAM and SH3 domain-containing protein 3,54440
Q86YQ8,CPNE8,Copine-8,144402
Q9Y653,ADGRG1,Adhesion G-protein coupled receptor G1,9289
Q53GQ0,HSD17B12,Very-long-chain 3-oxoacyl-CoA reductase,51144
O43422,THAP12,52 kDa repressor of the inhibitor of the protein kinase,5612
Q7Z418,KCNK18,Potassium channel subfamily K member 18,338567
Q9C0J8,WDR33,pre-mRNA 3' end processing protein WDR33,55339
P07199,CENPB,Major centromere autoantigen B,1059
P48443,RXRG,Retinoic acid receptor RXR-gamma,6258
O60241,ADGRB2,Adhesion G protein-coupled receptor B2,576
P18031,PTPN1,Tyrosine-protein phosphatase non-receptor type 1,5770
Q8TE67,EPS8L3,Epidermal growth factor receptor kinase substrate 8-like protein 3,79574
O60870,KIN,DNA/RNA-binding protein KIN17,22944
P29317,EPHA2,Ephrin type-A receptor 2,1969
Q9NPI0,TMEM138,Transmembrane protein 138,51524
